sentence	pictos_ref_ids	sense_keys
dehors il fait déjà nuit il n'est sûrement pas sorti	[[5475], [], [6190], [], [7181], [6480], [], [5465], [], [6526], [6606]]	[['outside%4:02:01::'], [], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], [], ['night%1:28:02::', 'dark%1:28:00::', 'night%1:28:05::', 'nighttime%1:28:00::', 'night%1:28:00::', 'night%1:28:03::'], [], [], ['be%2:42:05::'], [], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['go_out%2:38:00::', 'exit%2:38:00::', 'get_out%2:38:01::', 'leave%2:38:00::']]
bellina regarde sur la commode	[[2484], [2474], [5451], [7029], [16281]]	[['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['observe%2:39:00::', 'consider%2:39:08::', 'look_at%2:39:01::', 'look%2:39:00::', 'view%2:39:00::', 'see%2:39:00::'], ['in_a_higher_place%4:02:00::', 'higher_up%4:02:00::', 'above%4:02:01::', 'to_a_higher_place%4:02:00::'], [], ['dresser%1:06:00::', 'bureau%1:06:00::', 'chest%1:06:01::', 'chest_of_drawers%1:06:00::']]
le doudou n'y est pas non plus	[[8476], [4945], [], [], [5465], [6526], [5525], []]	[[], ['teddy_bear%1:06:00::', 'teddy%1:06:01::'], [], [], ['be%2:42:05::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['deny%2:32:00::', 'deny%2:40:00::', 'no%1:10:00::', 'no%4:02:00::', 'refuse%2:40:01::'], []]
il n'y a d'ailleurs rien sur ce meuble même pas de la poussière car maman l'a frotté avec un chiffon tout à l'heure	[[9001], [], [], [], [6526], [], [], [5451], [], [16281], [], [6526], [7074], [7029], [24312], [11348], [2458], [8476], [7271], [6507], [7064], [2627], [15343], [13028], [], [], []]	[['exist%2:42:00::', 'be%2:42:00::'], [], [], [], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], [], [], ['in_a_higher_place%4:02:00::', 'higher_up%4:02:00::', 'above%4:02:01::', 'to_a_higher_place%4:02:00::'], [], ['dresser%1:06:00::', 'bureau%1:06:00::', 'chest%1:06:01::', 'chest_of_drawers%1:06:00::'], [], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], [], [], ['dust%1:27:00::'], [], ['mamma%1:18:00::', 'mother%1:18:00::', 'mommy%1:18:00::', 'mom%1:18:00::', 'mum%1:18:00::', 'female_parent%1:18:00::', 'mummy%1:18:00::', 'ma%1:18:00::', 'mama%1:18:00::', 'mammy%1:18:00::', 'momma%1:18:00::'], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['wipe_up%2:35:00::', 'scrub_up%2:29:00::', 'mop_up%2:35:00::', 'mop%2:35:01::', 'scrub%2:29:00::'], [], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['textile%1:06:00::', 'fabric%1:06:00::', 'material%1:06:00::', 'cloth%1:06:00::'], ['before%4:02:03::', 'earlier%4:02:00::'], [], [], []]
abel cherche longtemps dans son coffre à jouets	[[2485], [6946], [37678], [7034], [12272], [10332], [7041], [9813]]	[['boy%1:18:00::', 'male_child%1:18:00::'], ['search%2:39:00::', 'search%2:35:00::', 'look%2:39:02::', 'look_for%2:35:00::', 'seek%2:35:00::'], ['age%1:28:03::', 'time%1:03:00::', 'years%1:28:01::', 'long_time%1:28:00::', 'long%4:02:00::'], [], [], ['trunk%1:06:01::', 'luggage_compartment%1:06:00::', 'automobile_trunk%1:06:00::', 'boot%1:06:01::'], [], ['toy%1:06:00::', 'plaything%1:06:00::']]
peut être l'y a t il rangé ce matin parmi les autres jeux	[[], [], [8476], [], [7271], [], [], [6048], [], [25704], [7064], [7031], [17054], [9810]]	[[], [], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], [], [], ['file%2:32:00::', 'file_away%2:32:00::'], [], ['cockcrow%1:28:00::', 'dayspring%1:28:00::', 'sunup%1:28:00::', 'sunrise%1:28:00::', 'dawning%1:28:00::', 'morning%1:28:00::', 'break_of_day%1:28:00::', 'morning%1:28:01::', 'aurora%1:28:00::', 'forenoon%1:28:00::', 'daybreak%1:28:00::', 'first_light%1:28:00::', 'morning_time%1:28:00::', 'break_of_the_day%1:28:00::', 'dawn%1:28:00::', 'morn%1:28:00::'], [], [], ['some_other%5:00:00:other:00', 'another%5:00:00:other:00', 'other%3:00:00::'], ['board_game%1:04:00::']]
il a beau regarder il doit se rendre à l'évidence il ne l'a pas rangé là non plus	[[6480], [7271], [], [2474], [6480], [15525], [], [], [], [], [17044], [6480], [], [8476], [7271], [6526], [6048], [5375], [5525], []]	[[], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], [], ['observe%2:39:00::', 'consider%2:39:08::', 'look_at%2:39:01::', 'look%2:39:00::', 'view%2:39:00::', 'see%2:39:00::'], [], ['obligate%2:41:00::', 'oblige%2:41:00::', 'compel%2:41:00::'], [], [], [], [], ['have%2:40:03::', 'receive%2:40:00::', 'get_hold_of%2:35:00::', 'take%2:35:00::', 'take%2:40:05::', 'have%2:40:05::', 'accept%2:40:00::'], [], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['file%2:32:00::', 'file_away%2:32:00::'], ['there%4:02:00::'], ['deny%2:32:00::', 'deny%2:40:00::', 'no%1:10:00::', 'no%4:02:00::', 'refuse%2:40:01::'], []]
tout comme bellina abel fait le tour de la chambre pour trouver son doudou	[[5596], [12313], [2484], [2485], [6190], [8476], [6232], [7074], [7029], [], [7194], [6531], [12272], [4945]]	[['completely%4:02:04::', 'entirely%4:02:00::', 'totally%4:02:00::', 'whole%4:02:00::', 'all%4:02:00::', 'right%4:02:07::', 'wholly%4:02:00::', 'altogether%4:02:04::', 'all%5:00:00:complete:00'], [], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['boy%1:18:00::', 'male_child%1:18:00::'], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], [], ['tower%1:06:00::', 'turret%1:06:00::'], [], [], [], [], ['contrive%2:36:00::', 'invent%2:36:00::', 'discover%2:31:00::', 'realise%2:31:00::', 'realize%2:31:00::', 'formulate%2:36:00::', 'discover%2:36:00::', 'find%2:36:00::', 'excogitate%2:36:00::', 'find%2:31:09::', 'understand%2:31:01::', 'see%2:31:01::', 'forge%2:36:08::', 'devise%2:36:00::'], [], ['teddy_bear%1:06:00::', 'teddy%1:06:01::']]
il pensait le trouver à côté de la ferme et du tracteur avec lesquels il a joué tout à l'heure	[[6480], [8661], [8476], [6531], [], [5367], [7074], [7029], [3337], [11399], [11712], [2600], [7064], [], [6480], [], [2439], [13028], [], [], []]	[[], ['think%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::', 'cogitate%2:31:00::', 'intend%2:31:00::', 'think%2:36:00::', 'cerebrate%2:31:00::'], [], ['contrive%2:36:00::', 'invent%2:36:00::', 'discover%2:31:00::', 'realise%2:31:00::', 'realize%2:31:00::', 'formulate%2:36:00::', 'discover%2:36:00::', 'find%2:36:00::', 'excogitate%2:36:00::', 'find%2:31:09::', 'understand%2:31:01::', 'see%2:31:01::', 'forge%2:36:08::', 'devise%2:36:00::'], [], ['both%5:00:00:some:00', 'close%3:00:05::', 'joint%3:00:00::', 'near%3:00:00::', 'nigh%3:00:00::', 'together%4:02:02::'], [], [], ['farm%1:06:00::'], [], [], ['tractor%1:06:00::'], [], [], [], [], ['recreate%2:41:00::', 'play%2:41:03::', 'play%2:41:00::'], ['before%4:02:03::', 'earlier%4:02:00::'], [], [], []]
mais s'il s'y trouvait peut être tout à l'heure maintenant il a disparu	[[11377], [], [6480], [], [], [5465], [], [], [13028], [], [], [], [13026], [6480], [7271], [4642]]	[[], [], [], [], [], ['be%2:42:05::'], [], [], ['before%4:02:03::', 'earlier%4:02:00::'], [], [], [], ['now%4:02:00::', 'now%4:02:04::', 'nowadays%4:02:00::', 'today%4:02:01::', 'at_present%4:02:00::'], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['go_away%2:30:00::', 'hide_out%2:39:00::', 'vanish%2:30:00::', 'hide%2:39:01::', 'disappear%2:30:00::']]
hourra s'écrie bellina je l'ai trouvé sous ton coussin	[[11599], [], [4686], [2484], [2617], [8476], [7271], [6531], [5355], [12281], [2250]]	[['grand%5:00:00:extraordinary:00', 'bully%5:00:00:good:01', 'o.k.%5:00:00:satisfactory:00', 'terrific%5:00:00:extraordinary:00', 'fine%5:00:00:satisfactory:00', 'cracking%5:00:00:good:01', 'wonderful%5:00:00:extraordinary:00', 'great%5:00:00:good:01', 'slap-up%5:00:00:good:01', 'dandy%5:00:00:good:01', 'keen%5:00:00:good:01', 'rattling%5:00:00:extraordinary:00', 'ok%5:00:00:satisfactory:00', 'hunky-dory%5:00:00:satisfactory:00', 'successful%3:00:00::', 'tremendous%5:00:00:extraordinary:00', 'cool%5:00:00:satisfactory:00', 'marvelous%5:00:00:extraordinary:00', 'smashing%5:00:00:good:01', 'groovy%5:00:00:good:01', 'wondrous%5:00:00:extraordinary:00', 'corking%5:00:00:good:01', 'okay%5:00:00:satisfactory:00', 'howling%5:00:00:extraordinary:00', 'all_right%5:00:00:satisfactory:00', 'nifty%5:00:00:good:01', 'bang-up%5:00:00:good:01', 'fantastic%5:00:00:extraordinary:00', 'neat%5:00:00:good:01', 'not_bad%5:00:00:good:01', 'marvellous%5:00:00:extraordinary:00', 'swell%5:00:00:good:01', 'old%5:00:00:good:01', 'peachy%5:00:00:good:01'], [], ['cry%2:32:01::', 'scream%2:32:01::', 'yell%2:32:01::', 'call%2:32:09::', 'holler%2:32:05::', 'shout%2:32:01::', 'squall%2:32:00::', 'shout_out%2:32:00::', 'hollo%2:32:00::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['contrive%2:36:00::', 'invent%2:36:00::', 'discover%2:31:00::', 'realise%2:31:00::', 'realize%2:31:00::', 'formulate%2:36:00::', 'discover%2:36:00::', 'find%2:36:00::', 'excogitate%2:36:00::', 'find%2:31:09::', 'understand%2:31:01::', 'see%2:31:01::', 'forge%2:36:08::', 'devise%2:36:00::'], ['at_a_lower_place%4:02:00::', 'below%4:02:01::', 'to_a_lower_place%4:02:01::', 'beneath%4:02:00::'], [], ['pillow%1:06:00::']]
c'est vrai	[[], [5465], [8715]]	[[], ['be%2:42:05::'], ['true%3:00:04::', 'truth%1:10:00::', 'truthful%3:00:00::', 'true_statement%1:10:00::', 'true%3:00:00::', 'truth%1:09:00::']]
maintenant abel se le rappelle	[[13026], [2485], [], [8476], [8661]]	[['now%4:02:00::', 'now%4:02:04::', 'nowadays%4:02:00::', 'today%4:02:01::', 'at_present%4:02:00::'], ['boy%1:18:00::', 'male_child%1:18:00::'], [], [], ['think%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::', 'cogitate%2:31:00::', 'intend%2:31:00::', 'think%2:36:00::', 'cerebrate%2:31:00::']]
il l'y avait soigneusement rangé à son réveil et n'y avait pas touché de la journée	[[6480], [8476], [], [7271], [], [2872], [7041], [12272], [5560], [11399], [], [], [7271], [6526], [3293], [7074], [7029], [7022]]	[[], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], [], ['assort%2:31:00::', 'classify%2:31:00::', 'set_up%2:35:00::', 'separate%2:31:00::', 'sort_out%2:31:00::', 'sort%2:31:00::', 'class%2:31:00::', 'arrange%2:35:00::'], [], [], ['alarm_clock%1:06:00::', 'alarm%1:06:01::'], [], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['adjoin%2:35:03::', 'contact%2:35:03::', 'touch%2:39:00::', 'meet%2:35:00::', 'touch%2:35:04::', 'touch%2:35:00::', 'touch%2:35:01::'], [], [], ['day%1:28:02::', 'daytime%1:28:00::', 'daylight%1:28:00::']]
abel est le plus heureux des petits moutons	[[2485], [5465], [8476], [3220], [3245], [36781], [4716], []]	[['boy%1:18:00::', 'male_child%1:18:00::'], ['be%2:42:05::'], [], ['sign%1:10:04::', 'plus_sign%1:10:00::'], ['content%3:00:00::', 'happy%3:00:00::', 'contented%3:00:00::'], [], ['diminutive%5:00:00:small:00', 'little%3:00:01::', 'littler%5:00:00:small:00', 'bantam%5:00:00:small:00', 'midget%5:00:00:small:00', 'lilliputian%5:00:00:small:00', 'small%3:00:00::', 'petite%5:00:00:small:00', 'smaller%5:00:00:small:00', 'tiny%5:00:00:small:00', 'flyspeck%5:00:00:small:00'], []]
il va pouvoir aller dormir l'esprit apaisé	[[6480], [2432], [11750], [2432], [2369], [8476], [2715, 4613], [3245]]	"[[], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], [], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], ['slumber%2:29:00::', ""log_z's%2:29:00::"", ""catch_some_z's%2:29:00::"", 'sleep%2:29:00::', 'kip%2:29:00::'], [], ['pump%1:08:00::', 'ticker%1:08:00::', 'heart%1:08:00::', 'heart%1:25:00::'], ['content%3:00:00::', 'happy%3:00:00::', 'contented%3:00:00::']]"
bonne nuit 	[[7251], [7181]]	[['pleasant%5:00:00:nice:00'], ['night%1:28:02::', 'dark%1:28:00::', 'night%1:28:05::', 'nighttime%1:28:00::', 'night%1:28:00::', 'night%1:28:03::']]
que fais tu avec ces vieilles couvertures bellina 	[[10276], [6190], [2608], [7064], [7092], [4770], [2459], [2484]]	[[], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], [], [], [], ['old%3:00:01::', 'worn%3:00:00::', 'used%3:00:00::'], ['blanket%1:06:00::', 'cover%1:06:01::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]
maman me les a données pour que nous puissions nous amuser	[[2458], [6632], [7031], [7271], [17038], [7194], [10276], [7183], [11750], [7183], [8992]]	[['mamma%1:18:00::', 'mother%1:18:00::', 'mommy%1:18:00::', 'mom%1:18:00::', 'mum%1:18:00::', 'female_parent%1:18:00::', 'mummy%1:18:00::', 'ma%1:18:00::', 'mama%1:18:00::', 'mammy%1:18:00::', 'momma%1:18:00::'], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['pass_on%2:40:01::', 'give%2:40:06::', 'hand%2:40:00::', 'give%2:40:00::', 'offer%2:40:00::', 'pass%2:40:00::', 'reach%2:40:00::', 'proffer%2:40:00::', 'turn_over%2:40:00::'], [], [], [], [], [], ['delight%2:34:00::', 'relish%2:37:00::', 'savor%2:37:00::', 'savour%2:37:00::', 'revel%2:34:00::', 'disport%2:41:00::', 'divert%2:41:00::', 'bask%2:37:13::', 'enjoy%2:37:00::', 'amuse%2:41:00::', 'enjoy%2:34:00::']]
nous amuser 	[[7183], [8992]]	[[], ['delight%2:34:00::', 'relish%2:37:00::', 'savor%2:37:00::', 'savour%2:37:00::', 'revel%2:34:00::', 'disport%2:41:00::', 'divert%2:41:00::', 'bask%2:37:13::', 'enjoy%2:37:00::', 'amuse%2:41:00::', 'enjoy%2:34:00::']]
que pouvons nous bien faire avec des couvertures 	[[10276], [11750], [7183], [5397], [6190], [7064], [36781], [2459]]	[[], [], [], ['ok%1:10:00::', 'o.k.%1:10:00::', 'okay%1:10:00::', 'well%4:02:00::', 'correct%3:00:04::', 'okeh%1:10:00::', 'hunky-dory%5:00:00:satisfactory:00', 'o.k.%5:00:00:satisfactory:00', 'cool%5:00:00:satisfactory:00', 'fine%5:00:00:satisfactory:00', 'ok%5:00:00:satisfactory:00', 'right%3:00:04::', 'okay%5:00:00:satisfactory:00', 'okey%1:10:00::', 'good%4:02:00::', 'all_right%5:00:00:satisfactory:00'], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], [], [], ['blanket%1:06:00::', 'cover%1:06:01::']]
plein de choses certainement abel	[[5521], [7074], [11318], [], [2485]]	[['very_much%4:02:01::', 'lots%4:02:00::', 'a_good_deal%4:02:00::', 'much%4:02:00::', 'a_lot%4:02:00::', 'a_great_deal%4:02:00::', 'much%4:02:04::'], [], ['physical_object%1:03:00::', 'object%1:03:00::', 'thing%1:10:00::', 'thing%1:06:00::'], [], ['boy%1:18:00::', 'male_child%1:18:00::']]
il suffit de réfléchir un peu	[[], [], [], [8661], [2627], [5546]]	[[], [], [], ['think%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::', 'cogitate%2:31:00::', 'intend%2:31:00::', 'think%2:36:00::', 'cerebrate%2:31:00::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['few%3:00:00::', 'testacean%1:05:00::', 'lesser%5:00:00:small:00']]
par exemple nous pouvons construire une cabane 	[[], [], [7183], [11750], [2713], [8474], [8049]]	[[], [], [], [], ['make%2:36:13::', 'construct%2:36:00::', 'build%2:36:00::'], [], ['cabin%1:06:02::']]
oh ça c'est une chouette idée s'enthousiasme abel	[[], [6906], [], [5465], [8474], [5397], [6019], [], [5973], [2485]]	[[], [], [], ['be%2:42:05::'], [], ['ok%1:10:00::', 'o.k.%1:10:00::', 'okay%1:10:00::', 'well%4:02:00::', 'correct%3:00:04::', 'okeh%1:10:00::', 'hunky-dory%5:00:00:satisfactory:00', 'o.k.%5:00:00:satisfactory:00', 'cool%5:00:00:satisfactory:00', 'fine%5:00:00:satisfactory:00', 'ok%5:00:00:satisfactory:00', 'right%3:00:04::', 'okay%5:00:00:satisfactory:00', 'okey%1:10:00::', 'good%4:02:00::', 'all_right%5:00:00:satisfactory:00'], ['contrive%2:36:00::', 'invent%2:36:00::', 'discover%2:31:00::', 'realise%2:31:00::', 'realize%2:31:00::', 'formulate%2:36:00::', 'discover%2:36:00::', 'find%2:36:00::', 'excogitate%2:36:00::', 'find%2:31:09::', 'understand%2:31:01::', 'see%2:31:01::', 'forge%2:36:08::', 'devise%2:36:00::'], [], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['boy%1:18:00::', 'male_child%1:18:00::']]
tiens utilisons la table sur la terrasse propose bellina	[[], [15485], [7029], [3129], [5451], [7029], [], [11576], [2484]]	[[], ['apply%2:34:00::', 'use%2:34:01::', 'utilize%2:34:00::', 'utilise%2:34:00::', 'employ%2:34:00::'], [], ['parsons_table%1:06:00::', 'table%1:06:01::'], ['in_a_higher_place%4:02:00::', 'higher_up%4:02:00::', 'above%4:02:01::', 'to_a_higher_place%4:02:00::'], [], [], ['suggestion%1:09:00::', 'advise%2:32:02::', 'suggest%2:32:00::', 'propose%2:32:00::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]
il suffit simplement de poser les couvertures par dessus pour faire les murs	[[], [], [], [], [6989], [7031], [2459], [7074], [5451], [7194], [6190], [7031], [2860]]	[[], [], [], [], ['set%2:35:00::', 'lay%2:35:01::', 'put%2:35:05::', 'put%2:35:00::', 'position%2:35:00::', 'pose%2:35:02::', 'place%2:35:00::'], [], ['blanket%1:06:00::', 'cover%1:06:01::'], [], ['in_a_higher_place%4:02:00::', 'higher_up%4:02:00::', 'above%4:02:01::', 'to_a_higher_place%4:02:00::'], [], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], [], ['wall%1:06:00::']]
